#USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01113	00161583	Russell County	1660652495	15564412	641.182	6.009	32.289811	-85.18698                                                                                                                  
AL	01115	00164997	St. Clair County	1635759668	56431801	631.57	21.788	33.719491	-86.311327                                                                                                               
AL	01117	00161584	Shelby County	2034281696	62286215	785.441	24.049	33.266893	-86.661007                                                                                                                 
AL	01119	00161585	Sumter County	2340898915	24634880	903.826	9.512	32.597481	-88.200057                                                                                                                  
AL	01121	00161586	Talladega County	1908347265	60873716	736.817	23.503	33.369314	-86.17593                                                                                                               
AL	01123	00161587	Tallapoosa County	1855797991	128790986	716.528	49.726	32.863308	-85.799618                                                                                                            
AL	01125	00161588	Tuscaloosa County	3420980038	78703449	1320.848	30.388	33.29022	-87.522783                                                                                                             
AL	01127	00161589	Walker County	2048757782	36683003	791.03	14.163	33.791558	-87.301094                                                                                                                  
AL	01129	00161590	Washington County	2797848586	21524393	1080.255	8.311	31.408503	-88.212404                                                                                                             
AL	01131	00161591	Wilcox County	2299540558	50592191	887.858	19.534	31.990082	-87.304935                                                                                                                 
AL	01133	00161592	Winston County	1587657467	48873867	612.998	18.87	34.154566	-87.365346                                                                                                                 
AK	02013	01419964	Aleutians East Borough	18094314940	20797208728	6986.254	8029.848	55.245044	-161.997477                                                                                                
AK	02016	01419965	Aleutians West Census Area	11377885026	25183635754	4393.026	9723.457	51.948964	+179.621188                                                                                            
AK	02020	01416061	Anchorage Municipality	4421121090	620772451	1707.004	239.682	61.17425	-149.284329                                                                                                     
AK	02050	01419966	Bethel Census Area	105253430580	12735049150	40638.578	4917.03	60.929141	-160.152625                                                                                                   
AK	02060	01419967	Bristol Bay Borough	1248248809	949842637	481.952	366.736	58.741661	-156.966805                                                                                                        
AK	02063	02804400	Chugach Census Area	24683085007	14538012081	9530.193	5613.158	60.488474	-146.203092                                                                                                   
AK	02066	02804401	Copper River Census Area	63953072617	1218890955	24692.42	470.616	62.034479	-143.922167                                                                                                
AK	02068	01419988	Denali Borough	32740165566	66105677	12641.049	25.524	63.682039	-150.027016                                                                                                            
AK	02070	01419968	Dillingham Census Area	47484825298	5943879883	18333.994	2294.945	59.543326	-158.267123                                                                                                
AK	02090	01419969	Fairbanks North Star Borough	18996920890	259490619	7334.752	100.19	64.670454	-146.496061                                                                                              
AK	02100	01419970	Haines Borough	6069910088	1042408269	2343.605	402.476	59.098404	-135.575791                                                                                                           
AK	02105	02371430	Hoonah-Angoon Census Area	16989573435	7803641230	6559.711	3013.003	58.403336	-135.884909                                                                                              
AK	02110	01419971	Juneau City and Borough	7003853675	1426248704	2704.203	550.678	58.37291	-134.178445                                                                                                   
AK	02122	01419972	Kenai Peninsula Borough	41485210464	22540897216	16017.53	8703.089	60.366668	-152.322283                                                                                               
AK	02130	01419973	Ketchikan Gateway Borough	12579623384	4651597936	4857.02	1795.992	55.449938	-131.106685                                                                                               
AK	02150	01419974	Kodiak Island Borough	17325674232	14147257374	6689.481	5462.287	57.7044	-153.918372                                                                                                   
AK	02158	01419985	Kusilvak Census Area	44229459238	6686116460	17077.09	2581.524	62.283588	-163.190171                                                                                                   
AK	02164	01419975	Lake and Peninsula Borough	61724231553	25989628379	23831.86	10034.652	58.108507	-156.413413                                                                                           
AK	02170	01419976	Matanuska-Susitna Borough	63991627244	1445752957	24707.306	558.208	62.265626	-149.503993                                                                                              
AK	02180	01419977	Nome Census Area	59490749603	13780642800	22969.508	5320.736	64.783686	-164.188912                                                                                                     
AK	02185	01419978	North Slope Borough	230052121425	15551062281	88823.624	6004.299	69.449343	-153.47283                                                                                                  
AK	02188	01419979	Northwest Arctic Borough	92367472818	12837268667	35663.282	4956.497	67.005066	-160.021086                                                                                             
AK	02195	02516404	Petersburg Borough	7513110542	2385848260	2900.828	921.181	57.112458	-133.008598                                                                                                       
AK	02198	01419980	Prince of Wales-Hyder Census Area	13643584003	14612158683	5267.817	5641.786	55.682773	-133.162389                                                                                     
AK	02220	01419981	Sitka City and Borough	7433427535	5037735764	2870.063	1945.081	57.193204	-135.367396                                                                                                  
AK	02230	02339479	Skagway Municipality	1123980973	28784118	433.971	11.114	59.560379	-135.338279                                                                                                         
AK	02240	01419983	Southeast Fairbanks Census Area	64315282486	749292918	24832.27	289.304	63.864997	-143.218628                                                                                          
AK	02275	02516402	Wrangell City and Borough	6620347765	2384381271	2556.131	920.615	56.180779	-132.026788                                                                                                
AK	02282	01419986	Yakutat City and Borough	19749306497	3986144517	7625.25	1539.059	60.017508	-140.416847                                                                                                
AK	02290	01419987	Yukon-Koyukuk Census Area	377055293513	5947344387	145581.869	2296.283	65.375727	-151.57785                                                                                            
AZ	04001	00025441	Apache County	29003497251	54139714	11198.313	20.903	35.385084	-109.490172                                                                                                             
AZ	04003	00025442	Cochise County	16083471945	17648749	6209.863	6.814	31.840129	-109.775163                                                                                                              
AZ	04005	00025443	Coconino County	48216132682	116637123	18616.354	45.034	35.829692	-111.773728                                                                                                          
AZ	04007	00040471	Gila County	12322068647	96466819	4757.578	37.246	33.789618	-110.81187                                                                                                                 
AZ	04009	00025444	Graham County	11970605959	47476264	4621.877	18.331	32.931828	-109.87831                                                                                                               
AZ	04011	00042807	Greenlee County	4772927116	11947401	1842.838	4.613	33.238872	-109.242323                                                                                                              
AZ	04012	00043540	La Paz County	11646086556	36514346	4496.579	14.098	33.72761	-114.038806                                                                                                               
AZ	04013	00037026	Maricopa County	23833110838	62124435	9202.016	23.986	33.345176	-112.49893                                                                                                             
AZ	04015	00025445	Mohave County	34530024142	333399390	13332.117	128.726	35.717705	-113.749689                                                                                                           
AZ	04017	00042808	Navajo County	25769065747	24121095	9949.492	9.313	35.390785	-110.321025                                                                                                               
AZ	04019	00025446	Pima County	23798578895	5112015	9188.683	1.974	32.128038	-111.783657                                                                                                                  
AZ	04021	00025447	Pinal County	13899613086	20747212	5366.671	8.011	32.918521	-111.366339                                                                                                                
AZ	04023	00040472	Santa Cruz County	3201899628	3068237	1236.26	1.185	31.525733	-110.845228                                                                                                              
AZ	04025	00042809	Yavapai County	21038297493	11358280	8122.932	4.385	34.631071	-112.577225                                                                                                              
AZ	04027	00023901	Yuma County	14280726749	13242852	5513.82	5.113	32.773942	-113.910905                                                                                                                  
AR	05001	00063755	Arkansas County	2569631425	120698186	992.14	46.602	34.28957	-91.376547                                                                                                                
AR	05003	00063756	Ashley County	2397012344	38656004	925.492	14.925	33.190835	-91.772267                                                                                                                 
AR	05005	00069895	Baxter County	1434675033	84916246	553.931	32.786	36.280268	-92.329949                                                                                                                 
AR	05007	00069896	Benton County	2195617603	94872357	847.733	36.63	36.337819	-94.256298                                                                                                                  
AR	05009	00069897	Boone County	1527375316	31797985	589.723	12.277	36.304299	-93.079236                                                                                                                  
AR	05011	00063757	Bradley County	1681335016	9505606	649.167	3.67	33.466549	-92.169156                                                                                                                   
AR	05013	00063758	Calhoun County	1628067843	9887802	628.601	3.818	33.56046	-92.513879                                                                                                                   
AR	05015	00066975	Carroll County	1631504871	22715757	629.928	8.771	36.33737	-93.540972                                                                                                                  
AR	05017	00069160	Chicot County	1649764401	140413175	636.978	54.214	33.267139	-91.297158                                                                                                                
AR	05019	00066845	Clark County	2242855171	43965580	865.971	16.975	34.053316	-93.176208                                                                                                                  
AR	05021	00063759	Clay County	1655581941	5497697	639.224	2.123	36.367302	-90.418704                                                                                                                     
AR	05023	00066983	Cleburne County	1434747668	98885396	553.959	38.18	35.593628	-92.008898                                                                                                                
AR	05025	00063760	Cleveland County	1548580962	2561701	597.91	0.989	33.893201	-92.188714                                                                                                                 
AR	05027	00063761	Columbia County	1984098878	1985830	766.065	0.767	33.223038	-93.232843                                                                                                                 
AR	05029	00066846	Conway County	1429458630	37757457	551.917	14.578	35.26569	-92.689249                                                                                                                  
AR	05031	00066847	Craighead County	1831541697	14320048	707.162	5.529	35.827729	-90.631421                                                                                                               
AR	05033	00069161	Crawford County	1541738662	26917846	595.269	10.393	35.582959	-94.236193                                                                                                               
AR	05035	00069162	Crittenden County	1587312632	81689126	612.865	31.54	35.197559	-90.30512                                                                                                               
AR	05037	00066848	Cross County	1596255187	15389371	616.318	5.942	35.285692	-90.763984                                                                                                                   
AR	05039	00066849	Dallas County	1728358302	1731378	667.323	0.668	33.967823	-92.653999                                                                                                                   
AR	05041	00066850	Desha County	1919768424	185180909	741.227	71.499	33.828752	-91.244103                                                                                                                 
AR	05043	00066851	Drew County	2146237578	18789748	828.667	7.255	33.587242	-91.722778                                                                                                                    
AR	05045	00066852	Faulkner County	1676351918	43617755	647.243	16.841	35.146548	-92.336928                                                                                                               
AR	05047	00066853	Franklin County	1577218110	28853849	608.967	11.141	35.508558	-93.887665                                                                                                               
AR	05049	00066854	Fulton County	1600597359	6357861	617.994	2.455	36.381322	-91.819285                                                                                                                   
AR	05051	00066855	Garland County	1755013635	147452177	677.615	56.932	34.578852	-93.146932                                                                                                               
AR	05053	00066856	Grant County	1636581698	2896901	631.888	1.118	34.285568	-92.422979                                                                                                                    
AR	05055	00066857	Greene County	1495304329	5273183	577.34	2.036	36.120607	-90.566346                                                                                                                    
AR	05057	00066858	Hempstead County	1883439299	35737908	727.2	13.798	33.735953	-93.664355                                                                                                                
AR	05059	00066859	Hot Spring County	1592697300	18725599	614.944	7.23	34.315177	-92.944147                                                                                                               
AR	05061	00066872	Howard County	1521182021	21361761	587.332	8.248	34.083064	-93.990931                                                                                                                  
AR	05063	00069163	Independence County	1978003734	20251226	763.712	7.819	35.737499	-91.559942                                                                                                            
AR	05065	00066860	Izard County	1502713749	9576574	580.201	3.698	36.094879	-91.913625                                                                                                                    
AR	05067	00066861	Jackson County	1641044498	20284491	633.611	7.832	35.596467	-91.223205                                                                                                                 
AR	05069	00066862	Jefferson County	2259364695	113071690	872.346	43.657	34.277239	-91.929673                                                                                                             
AR	05071	00066863	Johnson County	1711955744	59529090	660.99	22.984	35.573359	-93.466322                                                                                                                 
AR	05073	00066864	Lafayette County	1371327392	43028603	529.472	16.613	33.240629	-93.611514                                                                                                              
AR	05075	00066865	Lawrence County	1521690358	12395693	587.528	4.786	36.041098	-91.101153                                                                                                                
AR	05077	00066866	Lee County	1553493435	57858191	599.807	22.339	34.779505	-90.779717                                                                                                                    
AR	05079	00066873	Lincoln County	1449008946	26693606	559.466	10.306	33.956385	-91.742355                                                                                                                
AR	05081	00066874	Little River County	1375943077	83115227	531.255	32.091	33.701941	-94.236287                                                                                                           
AR	05083	00082850	Logan County	1836599802	53969487	709.115	20.838	35.218654	-93.72091                                                                                                                   
AR	05085	00069164	Lonoke County	1998045643	82719024	771.45	31.938	34.755114	-91.894132                                                                                                                  
AR	05087	00069165	Madison County	2160665381	7455733	834.238	2.879	36.012545	-93.724053                                                                                                                  
AR	05089	00069898	Marion County	1545182805	112951239	596.598	43.611	36.266664	-92.678577                                                                                                                
AR	05091	00069166	Miller County	1616257232	36848741	624.04	14.227	33.305505	-93.901502                                                                                                                  
AR	05093	00069899	Mississippi County	2336409866	72224609	902.093	27.886	35.766944	-90.052207                                                                                                            
AR	05095	00069167	Monroe County	1573316559	35707672	607.461	13.787	34.679512	-91.20331                                                                                                                  
AR	05097	00069168	Montgomery County	2021363886	52979164	780.453	20.455	34.545656	-93.664153                                                                                                             
AR	05099	00069169	Nevada County	1600067809	7489490	617.79	2.892	33.666699	-93.305072                                                                                                                    
AR	05101	00069900	Newton County	2126576327	5935911	821.076	2.292	35.910742	-93.215898                                                                                                                   
AR	05103	00069170	Ouachita County	1897739680	18183262	732.721	7.021	33.591168	-92.878413                                                                                                                
AR	05105	00069171	Perry County	1427953397	24428560	551.336	9.432	34.946363	-92.926877                                                                                                                   
AR	05107	00069172	Phillips County	1788024156	95966884	690.36	37.053	34.423687	-90.855593                                                                                                                
AR	05109	00069173	Pike County	1554861227	35284868	600.335	13.624	34.158191	-93.658659                                                                                                                   
AR	05111	00069174	Poinsett County	1963975402	13892744	758.295	5.364	35.56887	-90.681104                                                                                                                 
AR	05113	00069175	Polk County	2219200783	12520930	856.838	4.834	34.49096	-94.230894                                                                                                                     
AR	05115	00069901	Pope County	2100355867	50772506	810.952	19.603	35.456557	-93.026818                                                                                                                   
AR	05117	00069176	Prairie County	1677059909	72638195	647.516	28.046	34.831116	-91.55362                                                                                                                 
AR	05119	00069177	Pulaski County	1964159826	126989205	758.366	49.031	34.770311	-92.312996                                                                                                               
AR	05121	00069178	Randolph County	1688445994	10370824	651.913	4.004	36.341298	-91.028441                                                                                                                
AR	05123	00083331	St. Francis County	1644082976	20017606	634.784	7.729	35.022838	-90.751506                                                                                                             
AR	05125	00067102	Saline County	1873898608	17955554	723.516	6.933	34.648525	-92.674463                                                                                                                  
AR	05127	00069179	Scott County	2312470680	14373451	892.85	5.55	34.858869	-94.063641                                                                                                                     
AR	05129	00069180	Searcy County	1724618501	6461828	665.879	2.495	35.896387	-92.695888                                                                                                                   
AR	05131	00069181	Sebastian County	1375756983	34511833	531.183	13.325	35.196981	-94.274989                                                                                                              
AR	05133	00069182	Sevier County	1459636819	45919661	563.569	17.73	33.994877	-94.243279                                                                                                                  
AR	05135	00069183	Sharp County	1566013574	5209695	604.641	2.011	36.173399	-91.471069                                                                                                                    
AR	05137	00069902	Stone County	1570673289	8145444	606.44	3.145	35.857001	-92.140482                                                                                                                     
AR	05139	00069903	Union County	2691170081	42102269	1039.067	16.256	33.168219	-92.598145                                                                                                                 
AR	05141	00069904	Van Buren County	1837778050	37208224	709.57	14.366	35.582953	-92.515976                                                                                                               
AR	05143	00069905	Washington County	2438344183	27900311	941.45	10.772	35.978001	-94.217269                                                                                                              
AR	05145	00069906	White County	2677959079	20840622	1033.966	8.047	35.255118	-91.753034                                                                                                                  
AR	05147	00069907	Woodruff County	1517662708	21064563	585.973	8.133	35.192777	-91.244535                                                                                                                
AR	05149	00069908	Yell County	2409688595	46994485	930.386	18.145	34.997713	-93.408303                                                                                                                   
CA	06001	01675839	Alameda County	1910010507	216909647	737.459	83.749	37.647139	-121.912488                                                                                                              
CA	06003	01675840	Alpine County	1912292607	12557304	738.34	4.848	38.621783	-119.798352                                                                                                                  
CA	06005	01675841	Amador County	1539967079	29437120	594.585	11.366	38.443549	-120.653858                                                                                                                
CA	06007	01675842	Butte County	4238488659	105260548	1636.49	40.641	39.665336	-121.603209                                                                                                                
CA	06009	01675885	Calaveras County	2641829627	43797225	1020.016	16.91	38.191068	-120.554107                                                                                                             
CA	06011	01675902	Colusa County	2980245451	14696164	1150.679	5.674	39.177739	-122.237563                                                                                                                
CA	06013	01675903	Contra Costa County	1856752855	225364426	716.896	87.014	37.919479	-121.951543                                                                                                         
CA	06015	01682074	Del Norte County	2606049835	578810831	1006.202	223.48	41.749903	-123.980998                                                                                                           
CA	06017	00277273	El Dorado County	4423288010	203364019	1707.841	78.519	38.785612	-120.534225                                                                                                           
CA	06019	00277274	Fresno County	15432139286	136609893	5958.383	52.745	36.761006	-119.655019                                                                                                             
CA	06021	00277275	Glenn County	3403160293	33693351	1313.968	13.009	39.602546	-122.4017                                                                                                                  
CA	06023	01681908	Humboldt County	9241141221	1254150035	3568.025	484.23	40.706655	-123.926176                                                                                                           
CA	06025	00277277	Imperial County	10814568238	790135127	4175.528	305.073	33.040814	-115.3554                                                                                                            
CA	06027	01804637	Inyo County	26410783053	77280938	10197.261	29.838	36.56216	-117.404209                                                                                                                
CA	06029	02054176	Kern County	21068705434	78332288	8134.673	30.244	35.346629	-118.729506                                                                                                                
CA	06031	00277280	Kings County	3602601921	3164290	1390.972	1.222	36.072478	-119.81553                                                                                                                   
CA	06033	00277281	Lake County	3250647505	189100321	1255.082	73.012	39.108009	-122.745217                                                                                                                
CA	06035	01693324	Lassen County	11762090640	462950977	4541.369	178.746	40.715287	-120.621223                                                                                                            
CA	06037	00277283	Los Angeles County	10515988121	1785003256	4060.246	689.194	34.196398	-118.261862                                                                                                      
CA	06039	00277284	Madera County	5534591545	42271836	2136.918	16.321	37.209821	-119.749802                                                                                                               
CA	06041	00277285	Marin County	1347159145	797808345	520.141	308.036	38.051367	-122.746396                                                                                                               
CA	06043	00277286	Mariposa County	3752476985	36220865	1448.84	13.985	37.574343	-119.911721                                                                                                              
CA	06045	00277287	Mendocino County	9082586851	961786019	3506.807	371.348	39.432388	-123.442881                                                                                                          
CA	06047	00277288	Merced County	5019407135	105277636	1938.004	40.648	37.194806	-120.722802                                                                                                              
CA	06049	00277289	Modoc County	10225876984	660504011	3948.233	255.022	41.592918	-120.71837                                                                                                              
CA	06051	00277290	Mono County	7896625264	214695142	3048.904	82.894	37.915836	-118.875167                                                                                                                
CA	06053	00277291	Monterey County	8499609695	1267806850	3281.718	489.503	36.240104	-121.315578                                                                                                          
CA	06055	00277292	Napa County	1947606499	104444597	751.975	40.326	38.5071	-122.325904                                                                                                                   
CA	06057	01682927	Nevada County	2480587299	41531993	957.76	16.036	39.297508	-120.771343                                                                                                                 
CA	06059	00277294	Orange County	2053499195	406256078	792.861	156.856	33.675687	-117.777207                                                                                                              
CA	06061	00277295	Placer County	3644330331	246442517	1407.084	95.152	39.062032	-120.722718                                                                                                              
CA	06063	00277296	Plumas County	6612400771	156387638	2553.062	60.382	39.992295	-120.824371                                                                                                              
CA	06065	00277297	Riverside County	18671879658	242864215	7209.253	93.77	33.729828	-116.002239                                                                                                           
CA	06067	00277298	Sacramento County	2500063005	75323439	965.28	29.083	38.450136	-121.344329                                                                                                             
CA	06069	00277299	San Benito County	3596591086	4719300	1388.652	1.822	36.611651	-121.085811                                                                                                             
CA	06071	00277300	San Bernardino County	51976311343	96418184	20068.167	37.227	34.856661	-116.181571                                                                                                     
CA	06073	00277301	San Diego County	10905039592	816542690	4210.46	315.269	33.023604	-116.776117                                                                                                          
